"id";"username";"email";"password";"score"
"3";"Guest3";"Guest3";;"0"
"4";"Guest4";"Guest4";;"0"
"5";"Guest5";"Guest5";;"0"
"6";"Guest6";"Guest6";;"0"
"7";"Guest7";"Guest7";;"0"
"8";"Guest8";"Guest8";;"0"
"9";"Guest9";"Guest9";;"0"
"10";"Guest10";"Guest10";;"0"
"11";"Guest11";"Guest11";;"0"
"12";"Guest12";"Guest12";;"0"
"13";"Guest13";"Guest13";;"0"
"14";"Guest14";"Guest14";;"0"
"15";"Guest15";"Guest15";;"0"
"16";"Guest16";"Guest16";;"0"
"17";"Guest17";"Guest17";;"0"
"18";"Guest18";"Guest18";;"0"
"19";"Guest19";"Guest19";;"0"
"20";"Guest20";"Guest20";;"0"
"21";"Guest21";"Guest21";;"0"
"22";"Guest22";"Guest22";;"0"
"23";"Guest23";"Guest23";;"0"
"24";"Guest24";"Guest24";;"0"
"25";"Guest25";"Guest25";;"0"
"26";"Guest26";"Guest26";;"0"
"27";"Guest27";"Guest27";;"0"
"28";"Guest28";"Guest28";;"0"
"29";"Guest29";"Guest29";;"0"
"30";"Guest30";"Guest30";;"0"
"31";"Guest31";"Guest31";;"0"
"35";"Guest35";"Guest35";;"0"
"45";"Guest45";"Guest45";;"0"
"60";"Guest60";"Guest60";;"0"
"78";"Guest78";"Guest78";;"0"
"81";"Guest81";"Guest81";;"0"
"87";"Guest87";"Guest87";;"0"
"91";"Guest91";"Guest91";;"0"
"92";"Guest92";"Guest92";;"0"
"93";"Guest93";"Guest93";;"0"
"94";"Guest94";"Guest94";;"0"
"97";"Guest97";"Guest97";;"0"
"98";"Guest98";"Guest98";;"0"
"100";"Guest100";"Guest100";;"0"
"101";"Guest101";"Guest101";;"0"
"103";"Guest103";"Guest103";;"0"
"104";"Guest104";"Guest104";;"0"
"106";"Guest106";"Guest106";;"0"
"107";"Guest107";"Guest107";;"0"
"108";"Guest108";"Guest108";;"0"
"109";"Guest109";"Guest109";;"0"
"110";"AKSHAT";"abc@gmail.com";"123";"45"
"111";"Guest111";"Guest111";;"15"
"112";"Guest112";"Guest112";;"50"
"113";"Guest113";"Guest113";;"0"
"114";"Guest114";"Guest114";;"15"
"115";"abc";"abcd@gmail.com";"123";"15"
"116";"abcde";"abcde@gmail.com";"123";"0"
"117";"Guest117";"Guest117";;"0"
"118";"Guest118";"Guest118";;"0"
"119";"Guest119";"Guest119";;"20"
"120";"Guest120";"Guest120";;"0"
"121";"Guest121";"Guest121";;"0"
"122";"Guest122";"Guest122";;"40"
"123";"Guest123";"Guest123";;"30"
"124";"Guest124";"Guest124";;"20"
"125";"Guest125";"Guest125";;"15"
"126";"Guest126";"Guest126";;"0"
"127";"Guest127";"Guest127";;"0"
"128";"Guest128";"Guest128";;"0"
"130";"Guest130";"Guest130";;"25"
"132";"Guest132";"Guest132";;"0"
"133";"Guest133";"Guest133";;"0"
"134";"Guest134";"Guest134";;"0"
